ACSSF,2014e5,wa,000,0004,0000023,84508,56156,1597,496,1704,46,21891,2618,843,1775,496,370,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,25,0,0,330,65,47,0,12,0,35,0,0,14,1704,156,0,35,84,202,0,0,165,50,464,0,0,0,0,30,359,68,91,46,33,21,12,0,0,13,13,0,0,0,0,0,0,0,58432,2347,1198,2332,136,22759,84508,81890,56156,1597,496,1704,46,21891,2618,843,1775,2540,564,514,412,36,1014,78,0
ACSSF,2014e5,wa,000,0004,0000024,2240,2140,0,5,9,0,0,86,0,86,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226,16,75,20,0,0,2240,2154,2140,0,5,9,0,0,86,0,86,75,5,70,0,0,0,11,0
ACSSF,2014e5,wa,000,0004,0000025,91458,64344,828,1143,966,56,21096,3025,914,2111,1143,901,0,0,17,3,0,103,0,288,0,0,0,0,0,0,0,0,7,0,114,0,0,0,0,0,0,18,0,0,25,0,0,7,0,0,319,22,100,0,0,80,20,0,0,120,966,212,0,15,58,175,0,0,328,100,0,0,0,0,0,14,64,0,0,56,56,33,23,0,0,0,0,0,0,0,0,0,0,0,66801,1514,2130,1717,397,22036,91458,88433,64344,828,1143,966,56,21096,3025,914,2111,2913,496,839,303,28,1247,112,0
ACSSF,2014e5,wa,000,0004,0000026,71734,61989,911,3049,1076,244,1808,2657,176,2481,3049,2571,42,0,63,0,0,63,15,56,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,239,0,18,86,0,0,34,0,0,1939,28,76,0,17,6,38,15,1,373,1076,7,0,226,25,275,0,7,47,232,14,0,0,0,0,41,148,37,17,244,69,25,44,0,0,140,20,120,26,26,0,0,9,0,64509,1315,4776,1618,445,1993,71734,69077,61989,911,3049,1076,244,1808,2657,176,2481,2442,271,1489,396,23,263,180,35
ACSSF,2014e5,wa,000,0004,0000027,78951,67247,1984,834,3504,402,1159,3821,527,3294,834,662,18,48,73,0,0,52,6,32,51,0,8,0,0,0,0,0,12,21,0,0,9,0,0,32,0,33,0,0,14,0,0,31,0,0,222,0,99,7,0,0,92,0,0,73,3504,10,0,32,322,2115,0,29,561,232,0,0,0,0,0,52,36,115,0,402,208,106,80,0,22,147,128,19,0,0,0,0,47,0,70719,2821,2029,5082,797,1712,78951,75130,67247,1984,834,3504,402,1159,3821,527,3294,3478,636,799,1243,26,774,298,45
ACSSF,2014e5,wa,000,0004,0000028,29978,26920,283,674,511,41,144,1405,108,1297,674,576,0,0,11,0,0,19,21,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,18,0,0,2,0,0,473,0,25,25,0,0,0,0,0,73,511,12,0,0,19,75,0,0,186,132,7,0,0,0,18,24,3,0,35,41,13,13,0,0,0,13,13,0,0,0,0,0,15,0,28171,412,1333,1059,420,254,29978,28573,26920,283,674,511,41,144,1405,108,1297,1144,112,582,210,8,232,256,5
ACSSF,2014e5,wa,000,0004,0000029,2008997,1384506,123852,15724,306079,15323,51985,111528,10793,100735,15724,10602,132,206,477,65,49,665,174,759,0,67,131,15,123,0,21,0,14,0,210,74,20,51,113,83,120,2060,7,0,349,0,26,399,8,2,4182,350,1116,86,226,231,426,147,122,3534,306079,54137,239,7668,72877,45254,669,1979,21077,28852,7040,192,2228,312,4603,2531,38783,15063,2575,15323,9172,1522,5553,1268,829,4090,2241,1849,1215,1197,18,125,669,52,1480391,158050,44500,359670,25928,64588,2008997,1897469,1384506,123852,15724,306079,15323,51985,111528,10793,100735,99911,19140,17455,38541,3479,21296,10658,959
ACSSF,2014e5,wa,000,0004,0000030,253614,208328,6777,3546,12475,2276,4442,15770,1254,14516,3546,2658,9,23,333,3,10,17,110,27,0,2,0,25,0,0,0,2,0,0,108,22,0,0,0,56,10,622,3,0,40,0,0,0,0,7,1229,113,411,98,19,74,220,0,67,297,12475,435,0,67,1039,7362,70,4,1174,719,28,0,67,9,12,119,970,330,70,2276,658,426,232,0,0,1596,1572,24,22,22,0,0,0,0,222246,10354,8658,19424,4441,5794,253614,237844,208328,6777,3546,12475,2276,4442,15770,1254,14516,14309,2218,3845,4687,342,3217,1389,72
ACSSF,2014e5,wa,000,0004,0000031,41705,37063,379,415,902,0,1740,1206,40,1166,415,240,0,0,76,0,0,5,0,49,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,56,0,0,6,0,0,0,0,0,46,0,32,0,4,22,6,0,0,143,902,0,0,0,146,129,0,64,70,130,18,0,0,0,0,114,23,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38144,597,839,1364,264,1780,41705,40499,37063,379,415,902,0,1740,1206,40,1166,1129,206,324,360,0,239,77,0
ACSSF,2014e5,wa,000,0004,0000032,20668,18588,133,581,122,39,760,445,45,400,581,487,0,0,8,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,246,0,20,0,0,1,19,0,0,74,122,0,0,0,15,38,0,0,17,47,0,0,0,0,5,0,0,0,0,39,39,4,35,0,0,0,0,0,0,0,0,0,0,0,18996,187,780,327,51,805,20668,20223,18588,133,581,122,39,760,445,45,400,412,10,166,145,0,91,33,0
